ZIP_CODE,ENRL_MONTH,HYP_MBRS,HYP_TOT_ANNUAL_CLM,HYP_RX_MBRS,HYP_TOT_ANNUAL_RX,TOT_MBRS_ENRL
37011,31Jan2021,,,,,
37011,28Feb2021,,,,,
37011,31Mar2021,,,,,
37011,30Apr2021,,,,,
37011,31May2021,,,,,
37011,30Jun2021,,,,,
37011,31Jul2021,,,,,
37011,31Aug2021,,,,,
37011,30Sep2021,,,,,
37011,31Oct2021,,,,,
37011,30Nov2021,,,,,
37011,31Dec2021,,,,,
37011,31Jan2022,,,,,
37011,28Feb2022,,,,,
37013,31Jan2021,1256,3892,385,1849,6953
37013,28Feb2021,1244,3812,376,1802,6908
37013,31Mar2021,1285,3982,386,1772,6928
37013,30Apr2021,1285,4088,387,1762,6869
37013,31May2021,1290,4102,390,1754,6809
37013,30Jun2021,1292,4090,393,1718,6733
37013,31Jul2021,1293,4074,384,1667,6712
37013,31Aug2021,1306,4109,383,1634,6693
37013,30Sep2021,1286,4071,377,1620,6626
37013,31Oct2021,1296,4119,373,1585,6611
37013,30Nov2021,1298,4173,374,1572,6592
37013,31Dec2021,1283,4186,374,1557,6578
37013,31Jan2022,1155,3723,339,1381,6224
37013,28Feb2022,1159,3742,339,1369,6212
37024,31Jan2021,,,,,
37024,28Feb2021,,,,,
37024,31Mar2021,,,,,
37024,30Apr2021,,,,,
37024,31May2021,,,,,
37024,30Jun2021,,,,,
37024,31Jul2021,,,,,
37024,31Aug2021,,,,,
37024,30Sep2021,,,,,
37024,31Oct2021,,,,,
37024,30Nov2021,,,,,
37024,31Dec2021,,,,,
37024,31Jan2022,,,,,
37024,28Feb2022,,,,,
37027,31Jan2021,1366,3771,332,1717,10550
37027,28Feb2021,1369,3717,335,1747,10499
37027,31Mar2021,1406,3908,341,1735,10544
37027,30Apr2021,1429,4033,333,1692,10530
37027,31May2021,1436,4123,332,1675,10505
37027,30Jun2021,1446,4108,331,1645,10559
37027,31Jul2021,1453,4164,340,1647,10584
37027,31Aug2021,1481,4280,336,1642,10596
37027,30Sep2021,1493,4293,336,1625,10589
37027,31Oct2021,1499,4341,332,1592,10568
37027,30Nov2021,1515,4441,326,1578,10550
37027,31Dec2021,1523,4500,319,1552,10545
37027,31Jan2022,1428,4235,288,1396,10054
37027,28Feb2022,1426,4326,297,1377,10034
37070,31Jan2021,,,,,
37070,28Feb2021,,,,,
37070,31Mar2021,,,,,
37070,30Apr2021,,,,,
37070,31May2021,,,,,
37070,30Jun2021,,,,,
37070,31Jul2021,,,,,
37070,31Aug2021,,,,,
37070,30Sep2021,,,,,
37070,31Oct2021,,,,,
37070,30Nov2021,,,,,
37070,31Dec2021,,,,,
37070,31Jan2022,,,,,
37070,28Feb2022,,,,,
37072,31Jan2021,864,2775,179,842,5119
37072,28Feb2021,859,2745,185,814,5124
37072,31Mar2021,897,2890,189,822,5046
37072,30Apr2021,910,3050,191,802,5034
37072,31May2021,920,3092,189,783,5134
37072,30Jun2021,929,3159,191,796,5264
37072,31Jul2021,917,3159,190,780,5234
37072,31Aug2021,915,3161,189,763,5234
37072,30Sep2021,918,3166,191,776,5226
37072,31Oct2021,913,3186,181,751,5194
37072,30Nov2021,924,3184,173,743,5252
37072,31Dec2021,929,3178,176,744,5395
37072,31Jan2022,892,2980,164,682,5412
37072,28Feb2022,895,3006,160,645,5360
37076,31Jan2021,645,2142,175,832,3431
37076,28Feb2021,644,2115,179,831,3422
37076,31Mar2021,677,2207,182,824,3418
37076,30Apr2021,686,2297,178,824,3445
37076,31May2021,694,2333,178,811,3447
37076,30Jun2021,700,2355,178,786,3397
37076,31Jul2021,703,2315,178,777,3366
37076,31Aug2021,701,2357,177,777,3370
37076,30Sep2021,709,2384,179,762,3398
37076,31Oct2021,715,2444,180,738,3404
37076,30Nov2021,716,2473,179,754,3432
37076,31Dec2021,721,2491,179,736,3438
37076,31Jan2022,652,2244,156,638,3375
37076,28Feb2022,661,2276,155,621,3367
37080,31Jan2021,159,507,41,172,737
37080,28Feb2021,156,501,41,167,724
37080,31Mar2021,154,526,44,163,723
37080,30Apr2021,160,569,44,161,725
37080,31May2021,166,566,44,163,712
37080,30Jun2021,164,582,42,161,714
37080,31Jul2021,166,591,41,160,708
37080,31Aug2021,168,597,38,157,705
37080,30Sep2021,172,620,41,160,704
37080,31Oct2021,172,614,37,152,695
37080,30Nov2021,166,557,37,152,683
37080,31Dec2021,165,548,35,146,691
37080,31Jan2022,160,503,34,141,701
37080,28Feb2022,171,527,36,140,701
37086,31Jan2021,772,2386,253,1138,4152
37086,28Feb2021,779,2413,257,1108,4097
37086,31Mar2021,793,2495,261,1109,4077
37086,30Apr2021,802,2545,265,1130,4048
37086,31May2021,810,2577,262,1111,4026
37086,30Jun2021,800,2572,266,1124,4028
37086,31Jul2021,790,2553,265,1133,3996
37086,31Aug2021,798,2569,263,1107,4043
37086,30Sep2021,794,2596,263,1106,3939
37086,31Oct2021,791,2669,264,1126,3941
37086,30Nov2021,788,2675,258,1096,3949
37086,31Dec2021,793,2602,253,1075,3953
37086,31Jan2022,697,2246,214,930,3669
37086,28Feb2022,696,2267,215,903,3642
37115,31Jan2021,559,2040,165,750,2591
37115,28Feb2021,549,2023,171,764,2603
37115,31Mar2021,570,2078,177,794,2584
37115,30Apr2021,583,2129,177,791,2592
37115,31May2021,576,2115,179,794,2585
37115,30Jun2021,573,2087,177,806,2571
37115,31Jul2021,566,2006,168,763,2527
37115,31Aug2021,565,1976,165,735,2524
37115,30Sep2021,565,1960,166,724,2492
37115,31Oct2021,581,1976,167,716,2471
37115,30Nov2021,579,1973,165,720,2483
37115,31Dec2021,576,1966,165,712,2479
37115,31Jan2022,544,1871,157,659,2386
37115,28Feb2022,550,1887,150,633,2387
37116,31Jan2021,,,,,
37116,28Feb2021,,,,,
37116,31Mar2021,,,,,
37116,30Apr2021,,,,,
37116,31May2021,,,,,
37116,30Jun2021,,,,,
37116,31Jul2021,,,,,
37116,31Aug2021,,,,,
37116,30Sep2021,,,,,
37116,31Oct2021,,,,,
37116,30Nov2021,,,,,
37116,31Dec2021,,,,,
37116,31Jan2022,,,,,
37116,28Feb2022,,,,,
37135,31Jan2021,385,1038,94,472,3139
37135,28Feb2021,379,1006,97,475,3114
37135,31Mar2021,388,1057,99,487,3121
37135,30Apr2021,392,1079,94,447,3112
37135,31May2021,391,1055,93,445,3107
37135,30Jun2021,391,1066,95,447,3111
37135,31Jul2021,386,1064,93,445,3135
37135,31Aug2021,398,1083,94,439,3156
37135,30Sep2021,393,1077,96,443,3172
37135,31Oct2021,387,1096,96,432,3179
37135,30Nov2021,393,1129,95,427,3179
37135,31Dec2021,407,1163,94,425,3167
37135,31Jan2022,370,1021,91,410,3054
37135,28Feb2022,377,1046,93,410,3048
37138,31Jan2021,484,1547,106,534,2554
37138,28Feb2021,481,1545,105,529,2542
37138,31Mar2021,497,1637,107,521,2539
37138,30Apr2021,510,1697,107,508,2519
37138,31May2021,520,1729,107,504,2529
37138,30Jun2021,522,1740,107,497,2521
37138,31Jul2021,516,1717,107,475,2520
37138,31Aug2021,523,1756,107,480,2527
37138,30Sep2021,521,1750,107,462,2519
37138,31Oct2021,526,1772,107,458,2523
37138,30Nov2021,524,1738,102,457,2502
37138,31Dec2021,518,1745,101,450,2487
37138,31Jan2022,488,1640,96,419,2390
37138,28Feb2022,497,1676,95,431,2380
37143,31Jan2021,79,189,21,119,484
37143,28Feb2021,77,178,21,119,468
37143,31Mar2021,79,189,21,120,475
37143,30Apr2021,79,202,21,116,474
37143,31May2021,,,,,
37143,30Jun2021,,,,,
37143,31Jul2021,,,,,
37143,31Aug2021,,,,,
37143,30Sep2021,,,,,
37143,31Oct2021,,,,,
37143,30Nov2021,,,,,
37143,31Dec2021,,,,,
37143,31Jan2022,,,,,
37143,28Feb2022,,,,,
37189,31Jan2021,67,195,24,114,361
37189,28Feb2021,68,195,26,119,364
37189,31Mar2021,72,205,25,117,355
37189,30Apr2021,71,213,25,121,366
37189,31May2021,73,223,26,135,368
37189,30Jun2021,71,225,27,132,360
37189,31Jul2021,72,221,26,127,361
37189,31Aug2021,74,225,26,127,368
37189,30Sep2021,75,229,24,118,360
37189,31Oct2021,75,232,24,118,367
37189,30Nov2021,78,236,24,120,365
37189,31Dec2021,82,253,24,118,359
37189,31Jan2022,78,227,23,106,343
37189,28Feb2022,80,239,23,105,347
37201,31Jan2021,,,,,
37201,28Feb2021,,,,,
37201,31Mar2021,,,,,
37201,30Apr2021,,,,,
37201,31May2021,,,,,
37201,30Jun2021,,,,,
37201,31Jul2021,,,,,
37201,31Aug2021,,,,,
37201,30Sep2021,,,,,
37201,31Oct2021,,,,,
37201,30Nov2021,,,,,
37201,31Dec2021,,,,,
37201,31Jan2022,,,,,
37201,28Feb2022,,,,,
37202,31Jan2021,,,,,
37202,28Feb2021,,,,,
37202,31Mar2021,,,,,
37202,30Apr2021,,,,,
37202,31May2021,,,,,
37202,30Jun2021,,,,,
37202,31Jul2021,,,,,
37202,31Aug2021,,,,,
37202,30Sep2021,,,,,
37202,31Oct2021,,,,,
37202,30Nov2021,,,,,
37202,31Dec2021,,,,,
37202,31Jan2022,,,,,
37202,28Feb2022,,,,,
37203,31Jan2021,165,505,51,290,1826
37203,28Feb2021,164,501,53,297,1799
37203,31Mar2021,170,493,51,295,1806
37203,30Apr2021,178,534,55,302,1828
37203,31May2021,179,541,58,303,1835
37203,30Jun2021,177,558,56,305,1842
37203,31Jul2021,179,554,56,293,1852
37203,31Aug2021,179,573,56,289,1881
37203,30Sep2021,181,555,57,283,1888
37203,31Oct2021,180,532,55,276,1887
37203,30Nov2021,187,526,56,283,1903
37203,31Dec2021,191,517,57,284,1895
37203,31Jan2022,173,480,51,264,1830
37203,28Feb2022,178,508,53,265,1835
37204,31Jan2021,199,619,60,309,1985
37204,28Feb2021,198,607,61,308,1976
37204,31Mar2021,212,651,63,305,1987
37204,30Apr2021,220,685,64,310,2003
37204,31May2021,218,695,65,299,1999
37204,30Jun2021,223,694,67,314,2009
37204,31Jul2021,220,683,67,309,2028
37204,31Aug2021,233,722,71,312,2031
37204,30Sep2021,235,742,72,313,2025
37204,31Oct2021,239,772,70,305,2048
37204,30Nov2021,244,763,66,305,2061
37204,31Dec2021,245,776,61,301,2053
37204,31Jan2022,229,731,54,272,2001
37204,28Feb2022,228,735,55,269,2001
37205,31Jan2021,788,2388,138,777,4697
37205,28Feb2021,793,2349,136,768,4681
37205,31Mar2021,808,2431,139,770,4687
37205,30Apr2021,832,2581,143,775,4695
37205,31May2021,833,2565,142,762,4687
37205,30Jun2021,835,2615,137,735,4681
37205,31Jul2021,823,2621,134,697,4646
37205,31Aug2021,834,2699,134,689,4659
37205,30Sep2021,843,2754,132,666,4636
