TractFIPS,TractFIPS_2017_str,StateAbbr,StateDesc,CityName,Annual Checkup,Arthritis,Binge Drinking,COPD,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
47037010103,47037010103,TN,Tennessee,Nashville,73.2,31.9,12.1,8.6,8.1,83.5,2.7,67.8,39.8,41.4,7.7,9.2,20.3,68,11.2,10.8,37.8,42.4,79.9,13.1,30.5,86.5,14.4,28.1,31.6,3.3,81.4,14
47037010104,47037010104,TN,Tennessee,Nashville,73.3,31.4,12,8.4,7.9,82.6,2.7,64.9,37.1,38.8,7.5,9.3,20.5,63.3,11.3,11,37.8,42.1,78.9,13.2,30.8,84.8,14.3,28.5,33.1,3.3,81.4,16.8
47037010105,47037010105,TN,Tennessee,Nashville,80.1,31.8,9.2,7.4,6.8,82.4,3.4,66.6,29.5,33.4,7.4,10.8,19.7,55.5,17.1,13.9,47.6,40.8,83.2,12.9,38.6,86.5,14.7,31.2,40.7,4.5,84.6,20.7
47037010106,47037010106,TN,Tennessee,Nashville,75.8,29.9,9.4,9.2,5.7,75.4,3.4,60,31.7,32.1,7.4,11.8,27.2,50.5,15.7,20.3,44.3,38.7,80.5,17,41.7,85.4,17.9,36.5,42.6,4.7,79.9,23.3
47037010201,47037010201,TN,Tennessee,Nashville,75.3,28.3,11.4,7.1,6.7,80.5,2.8,65.7,36.4,38.7,6.6,9.8,19.7,60.8,12.1,13.4,38.8,38.7,80.4,13,33.9,86.4,13.5,28.7,36.7,3.3,80.5,16.9
47037010202,47037010202,TN,Tennessee,Nashville,73.5,32,12.1,8.6,8.1,83.3,2.6,64.3,36.7,38.9,7.7,9.3,20.3,62.1,11.3,10.9,38.2,42.8,78,13.1,30.4,83.9,14.3,28.3,33.3,3.2,81.7,17.7
47037010401,47037010401,TN,Tennessee,Nashville,70.7,28.4,11.2,9.6,6.1,71.7,2.9,58.1,34.3,33.1,7.5,11,26.4,49.7,12.5,23.3,37.1,39.6,75.6,17.2,35.3,81.6,17.5,35.2,38,3.9,77.1,25.2
47037010402,47037010402,TN,Tennessee,Nashville,68.7,30,9.8,12.8,5.1,65.6,3.6,48.1,29.5,27,8.6,12.2,34.8,37.7,15.4,30.6,40.4,41.6,72.1,21.7,42.4,75,22.9,42.6,41.9,5,76,34
47037010501,47037010501,TN,Tennessee,Nashville,70.6,30.6,11.9,9.8,7.1,77.7,2.9,58.3,35.1,33.9,7.5,10.3,24.7,54.6,11.4,15.3,36.6,40.8,75.3,15.9,33.1,80.9,16.6,31.5,35.3,3.6,78.8,22.1
47037010502,47037010502,TN,Tennessee,Nashville,71,25.9,13,7.1,5.8,78.5,2.4,62.5,35.9,36.9,5.5,9.7,21.9,60.7,10.1,13.4,33.5,37.1,79.5,14.1,32.5,85.2,13.5,28.4,35.9,2.8,77,17.2
47037010601,47037010601,TN,Tennessee,Nashville,72.8,27,11.8,7.6,6.3,76.7,2.6,61,35.9,35.4,6.4,10.1,21.9,56.2,11.1,17.4,35.9,37.8,78.2,14.4,33.6,84.9,14.4,30.9,37.1,3.2,78,19.7
47037010602,47037010602,TN,Tennessee,Nashville,72.4,28.6,10.2,9.3,5.7,73.3,3.2,57.7,32.8,31.7,7.4,11.1,26.2,50.3,13.9,22,39.7,39.1,77.9,17,38.7,82.8,17.7,35.8,39.4,4.2,78.4,24.1
47037010701,47037010701,TN,Tennessee,Nashville,69.3,28.1,11,10.2,5.2,70.5,3.1,48.5,30.2,27.4,7.3,11.1,29.8,41.3,13.3,23.5,37.8,39.6,73.2,18.6,39,76.1,19.1,37,40.9,4,76.2,30.8
47037010702,47037010702,TN,Tennessee,Nashville,72.6,35.9,8.6,14.2,7.6,71.4,4.4,50.6,30.4,26.6,11.6,11.6,29.1,40.2,18.1,28.2,46.1,45.7,72.1,19,39.7,75.4,23.4,41.8,39.5,6.5,81.7,33.7
47037010801,47037010801,TN,Tennessee,Nashville,73.2,27.9,11.1,8.1,6.1,75.6,2.9,59.6,35.3,34.3,6.6,10.6,23.2,53,12.1,17.6,37.5,38.1,78.3,15.3,35.7,83.4,15.4,32.1,38.7,3.5,78.4,21.4
47037010802,47037010802,TN,Tennessee,Nashville,76.8,34.6,9.7,8.9,9.5,82.9,3.5,65.4,36.9,36,9.2,9.5,17.9,61.1,13.4,13.7,43,42.9,79.1,12.4,30.8,85.2,15.3,30.6,33.5,4.4,84.1,18.4
47037010901,47037010901,TN,Tennessee,Nashville,74.4,28.9,11.5,7.8,6.9,79.1,2.8,62.6,36,37.2,7,10,21,57.3,12,14.5,38.5,39.2,79,13.7,33.4,84.9,14.3,29.8,37,3.5,80.1,19.8
47037010903,47037010903,TN,Tennessee,Nashville,74.4,28,9.1,9.7,4.1,68.8,3.4,49.2,26.2,24.5,6.6,13.1,32.4,35.6,16.7,26.8,44,37.3,78.2,20.3,46.3,78.7,20.3,40.6,48,4.9,77.2,34.9
47037010904,47037010904,TN,Tennessee,Nashville,78.4,30.8,8.2,9.5,5.5,73.5,3.6,55.9,26.7,27.9,7.5,13.1,27.2,40.7,17.9,21.9,46.9,39.6,79.1,17.7,43,80.7,18.7,37.9,45.7,5.3,81.4,32.1
47037011001,47037011001,TN,Tennessee,Nashville,73.3,29.6,9.5,10.3,5.2,70.5,3.4,50.9,27.8,26.9,7.7,12.2,30.2,39.5,16.3,24.7,42.9,40.1,76.5,18.9,41.6,77.9,19.8,39.3,43.9,4.9,79,33.1
47037011002,47037011002,TN,Tennessee,Nashville,73.6,27,11.4,7.7,6.1,76,2.7,60.7,34.8,34.5,6.4,10.6,22.4,54.7,11.7,16.4,37,37.3,79.1,14.8,34.3,84.2,14.6,30.7,38.2,3.4,78.2,21.2
